Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/00-document-info.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/00-document-info.mdx:7,Text,Minor,"The PDF shows ""Tim O'Leary, Risk Management Center"" but the MDX has ""Tim  O'Leary, Risk Management Center"" (extra space and apostrophe style mismatch).","Update the author string to ""Tim O'Leary, Risk Management Center"".",No,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/00-document-info.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/00-document-info.mdx:10,Text,Minor,"The subject terms list contains ""intiation"" but the PDF shows ""initiation"".","Change ""intiation"" to ""initiation"".",No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:47,Citation,Major,"The PDF shows ""Engineer Manual (EM) 1110-2-1913 (USACE 2000)"" but the MDX omits the ""USACE 2000"" author-year text before the citation component.","Add ""USACE 2000"" in the text (e.g., ""Engineer Manual (EM) 1110-2-1913 (USACE 2000)"") and keep the existing <Citation citationKey=""USACE2000"" />.",No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:52,Citation,Major,"The PDF shows ""Technical Manual (TM) 3-424 (USACE 1956)"" but the MDX omits the ""USACE 1956"" author-year text before the citation component.","Add ""USACE 1956"" in the text (e.g., ""Technical Manual (TM) 3-424 (USACE 1956)"") and keep the existing <Citation citationKey=""USACE1956"" />.",No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:58,Citation,Major,"The PDF shows ""EM 1110-2-1913 (USACE 2000)"" but the MDX omits the ""USACE 2000"" author-year text before the citation component.","Add ""USACE 2000"" in the text and keep the existing <Citation citationKey=""USACE2000"" />.",No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:63,Equation,Major,"The PDF shows the ratio as L2/d = 1, but the MDX text renders it as L2d = 1 (missing the ""/"").",Update the inline expression to _L<sub>2</sub>/d_ = 1.,No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:64,Citation,Major,"The PDF shows ""(Batool 2013)"" but the MDX only includes the citation component without the ""Batool 2013"" author-year text.","Insert ""Batool 2013"" before the <Citation citationKey=""Batool2013"" />.",No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:73,Figure,Minor,"The PDF caption reads ""L2/d > 1"" but the MDX figure alt/caption text uses ""L2d > 1"" (missing the ""/"").","Update the Figure 8 alt and caption text to ""L2/d > 1"".",No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:137,Citation,Major,"The PDF shows ""DIVR 1110-1-400 (USACE 1998)"" but the MDX omits the ""USACE 1998"" author-year text before the citation component.","Add ""USACE 1998"" in the text and keep the existing <Citation citationKey=""USACE1998"" />.",No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:231,Table,Major,"The PDF table lists the soil type as ""Clay and silty clay"" but the MDX table row label is ""Clay"".","Update the Table 2 soil type label to ""Clay and silty clay"".",No,No
11,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/04-background.mdx:111,MDX,Minor,"The MDX renders ""_L<sub>2</sub>_<sub> </sub>for"" with an extra subscript tag, but the PDF text reads ""L2 for the appropriate cases"" without the extra formatting.","Replace ""_L<sub>2</sub>_<sub> </sub>for"" with ""_L<sub>2</sub>_ for"" to match the PDF.",No,No
12,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/05-blanket-theory-transformation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/backward-erosion-piping-initiation/v1.0/05-blanket-theory-transformation.mdx:99,Figure,Minor,"The PDF caption uses ""Landside blanket"" but the MDX figure alt/caption text says ""Landslide blanket"".","Change ""Landslide"" to ""Landside"" in the Figure 11 alt and caption text.",No,No
