Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/04-background.mdx:121,Citation,Major,"The PDF cites USACE 2020 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""USACE_EM1110_2_2902_2020"" /> immediately after the USACE 2020 text.",No,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:88,Equation,Major,"The where block under Equation 1 is formatted as a bullet list instead of the required blockquote lines with double-space line breaks.","Convert the where block to blockquote lines (""> term = ..."" with double spaces at line ends except the last line).",No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:96,Citation,Major,"The PDF cites USACE 2020 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""USACE_EM1110_2_2902_2020"" /> immediately after the USACE 2020 text.",No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:102,Equation,Major,"The where block under Equation 2 is formatted as a bullet list instead of the required blockquote lines with double-space line breaks.","Convert the where block to blockquote lines (""> term = ..."" with double spaces at line ends except the last line).",No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:110,MDX,Major,"The :::danger Inline Equation Detected block indicates unresolved inline math conversion, which should not remain in final content.","Replace the inline math with <EquationNoRef /> components as instructed, then remove the warning block.",No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:173,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:233,Citation,Major,"The PDF shows a Potter 1988 citation here, but the MDX only includes <Citation citationKey=""Potter1988"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Potter 1988"") adjacent to the citation component.",No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:466,Figure,Minor,"The caption reads ""Relatove flow abrasiveness for rare flow"" instead of ""Relative"" as shown in the PDF.","Correct the caption spelling to ""Relative flow abrasiveness for rare flow.""",No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:472,Citation,Major,"The PDF cites Potter et al. 1991 here, but the MDX only includes the raw author-year text without a <Citation> component.","Add <Citation citationKey=""PotterLewandowskiWhite1991"" /> immediately after the Potter et al. 1991 text.",No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/pipe-service-life/v1.0/05-steel-and-aluminum-pipes.mdx:477,Citation,Major,"The PDF shows Bednar 1989 here, but the MDX only includes <Citation citationKey=""Bednar1989"" /> without the raw author-year text.","Add the raw author-year text (e.g., ""Bednar 1989"") adjacent to the citation component.",No,No
