File,Issue,Location,Category,Severity,Problem,Recommended Fix,Human Verification
00-version-history.mdx,1,Line 23,MDX,Blocker,"Placeholder value ""xx"" in approvedBy field instead of actual name","Replace ""xx"" with the actual approver's name",Yes
01-preface.mdx,2,Line 32,Text,Major,"Malformed email address with extraneous @ prefix: @RMC.Software@usace.army.mil","Change to RMC.Software@usace.army.mil (remove leading @)",No
03-installing-and-starting-lifesim.mdx,3,Line 91,MDX,Minor,"Reviewer draft comment left in source: {/*Comment for Woody or other reviewer...*/}","Resolve reviewer question and remove the comment",Yes
03-installing-and-starting-lifesim.mdx,4,Line 154,Grammar,Minor,"Spelling error: ""preceeding""","Change ""preceeding"" to ""preceding""",No
04-lifesim-interface.mdx,5,Line 31,MDX,Major,"<a href> used instead of <Link> for Installing and Starting LifeSim internal navigation","Replace with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/installing-and-starting-lifesim"">",No
04-lifesim-interface.mdx,6,"Lines 116, 123, 139, 252, 401",MDX,Major,"Multiple <a href> elements link to Appendix B (appendix-map-preferences) using hardcoded paths with target=""_blank""","Replace each <a href> with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/appendix-map-preferences"">",No
04-lifesim-interface.mdx,7,Line 661,MDX,Major,"<a href> used instead of <Link> for Simulation Results Table link","Replace with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/viewing-lifesim-results#simulation-results-table"">",No
04-lifesim-interface.mdx,8,Line 902,MDX,Major,"<a href> used instead of <Link> for Hydraulic Data Import Options link","Replace with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/hydraulic-data#hydraulic-data-import-options"">",No
04-lifesim-interface.mdx,9,"Lines 1110, 1172, 1219, 1230, 1240, 1248, 1266, 1283",MDX,Major,"Multiple <a href> elements for same-page and cross-page links (customizing-plots sections and figure references)","Replace with <Link to=""#anchor""> for same-page or <Link to=""/path""> for cross-page; consider <FigReference> for figure refs",No
04-lifesim-interface.mdx,10,Line 1318,MDX,Major,"<a href> used instead of <Link> for View Result Map link","Replace with <Link to=""/desktop-applications/lifesim/users-guide/v1.0/viewing-lifesim-results#view-result-map-in-the-map-window"">",No
04-lifesim-interface.mdx,11,"Lines 50, 75, 82, 86, 105",Grammar,Minor,"Uses ""an LifeSim"" instead of ""a LifeSim"" (5 instances)","Change all instances of ""an LifeSim"" to ""a LifeSim""",No
04-lifesim-interface.mdx,12,Line 88,Grammar,Minor,"Missing letter: ""Agricultural Crop Dat"" should be ""Agricultural Crop Data""","Change ""Crop Dat"" to ""Crop Data""",No
04-lifesim-interface.mdx,13,Line 298,Grammar,Minor,"Incorrectly hyphenated: ""geo-graphical""","Change to ""geographical"" (single word no hyphen)",No
