File,Issue,Location,Category,Severity,Problem,Recommended Fix,Human Verification
01-preface.mdx,1,Line 6,MDX,Minor,Unused import — VersionSelector is imported but never used,Remove the VersionSelector import statement,No
02-welcome-to-rmc-bestfit.mdx,2,Line 6,MDX,Minor,Unused import — VersionSelector is imported but never used,Remove the VersionSelector import statement,No
02-welcome-to-rmc-bestfit.mdx,3,Line 72,Grammar,Minor,"Missing space before bold text: open**.bestfit**","Change to: open **.bestfit**",No
02-welcome-to-rmc-bestfit.mdx,4,Line 73,Grammar,Minor,"Missing space after period: file.Select","Change to: file. Select",No
02-welcome-to-rmc-bestfit.mdx,5,Line 82,Grammar,Minor,"Typo: appon should be app on","Change to: app on this PC",No
02-welcome-to-rmc-bestfit.mdx,6,Line 83,Grammar,Minor,"Missing space before bold text: select**Look","Change to: select **Look",No
02-welcome-to-rmc-bestfit.mdx,7,Line 84,MDX,Major,"Malformed bold markers: click** Open. **When causes incorrect rendering","Change to: click **Open**. When",No
03-graphical-user-interface.mdx,8,Line 6,MDX,Minor,Unused import — VersionSelector is imported but never used,Remove the VersionSelector import statement,No
03-graphical-user-interface.mdx,9,Line 27,Grammar,Minor,"Missing space: panesas should be panes as","Change to: panes as desired",No
03-graphical-user-interface.mdx,10,Line 151,Grammar,Minor,"Inconsistent naming: MenuBar should be Menu Bar (with space)","Change to: **Menu Bar**",No
03-graphical-user-interface.mdx,11,Line 209,Grammar,Minor,"Missing space: belocated should be be located","Change to: will be located",No
03-graphical-user-interface.mdx,12,Line 235,Grammar,Minor,"Typo: shared area should be shaded area (matching line 223)","Change shared to shaded",No
03-graphical-user-interface.mdx,13,"Lines 276, 287, 297",Figure,Blocker,"Duplicate figKey: three different figures share figKey=""project-explorer-element""","Assign unique figKeys to each figure (e.g. project-explorer-header-menu, project-explorer-element-menu, project-explorer-drag-drop)",Yes
03-graphical-user-interface.mdx,14,Line 388,Grammar,Minor,"Missing space after period: deleted.The","Change to: deleted. The",No
03-graphical-user-interface.mdx,15,Line 433,Grammar,Minor,"Missing space and typo: aComma Separate should be a Comma Separated","Change to: a Comma Separated (.csv)",No
03-graphical-user-interface.mdx,16,"Lines 440-442",Text,Major,"Wrong product name: figKey, alt, and caption say RMC-RFA instead of RMC-BestFit","Change figKey to rmcbestfit-plot-features and update alt/caption to RMC-BestFit Plot Features",Yes
03-graphical-user-interface.mdx,17,Line 465,Grammar,Minor,"Missing space after bold: **Pan**the should be **Pan** the","Change to: **Pan** the plot area",No
04-working-with-rmc-bestfit.mdx,18,Line 6,MDX,Minor,Unused import — VersionSelector is imported but never used,Remove the VersionSelector import statement,No
04-working-with-rmc-bestfit.mdx,19,Line 284,Equation,Major,"Equation variable inconsistency: denominator uses 2a (Latin) but numerator uses α (Greek)","Change 2a to 2α in the equation string",Yes
04-working-with-rmc-bestfit.mdx,20,Line 311,Grammar,Minor,"Stray opening parenthesis: parameter (is set as the default — never closed","Remove the parenthesis: parameter is set as the default",No
04-working-with-rmc-bestfit.mdx,21,Line 327,Citation,Major,"Citation key case mismatch: usgs2018 should be USGS2018 — will not resolve","Change citationKey=""usgs2018"" to citationKey=""USGS2018""",No
04-working-with-rmc-bestfit.mdx,22,Line 344,Grammar,Minor,"Missing space: checkboxand should be checkbox and","Change to: checkbox and enter",No
04-working-with-rmc-bestfit.mdx,23,Line 350,Grammar,Minor,"Missing space: thelow should be the low","Change to: the low outlier",No
04-working-with-rmc-bestfit.mdx,24,Line 357,Grammar,Minor,"Inconsistent heading capitalization: Interval data should be Interval Data","Change to: ### Interval Data",No
04-working-with-rmc-bestfit.mdx,25,Line 359,Grammar,Minor,"Missing space: magnitudesthat should be magnitudes that","Change to: magnitudes that",No
04-working-with-rmc-bestfit.mdx,26,Line 480,Equation,Minor,"HTML entity &lt; in equation prop — non-standard, may cause rendering issues","Change &lt; to < or use \lt in the equation string",Yes
04-working-with-rmc-bestfit.mdx,27,Line 539,Grammar,Minor,"Unnecessary comma: Once, the new","Change to: Once the new",No
04-working-with-rmc-bestfit.mdx,28,"Lines 599-600",MDX,Minor,"Where block uses {\""\n\""} instead of > prefix for continuation lines","Replace {\""\n\""} with > prefix on each continuation line",No
04-working-with-rmc-bestfit.mdx,29,"Lines 610-615",MDX,Minor,"Where block uses {\""\n\""} instead of > prefix for continuation lines","Replace {\""\n\""} with > prefix on each continuation line",No
04-working-with-rmc-bestfit.mdx,30,Line 657,Grammar,Minor,"Missing space after period: values.AIC","Change to: values. AIC",No
04-working-with-rmc-bestfit.mdx,31,Line 849,Figure,Major,"Wrong FigReference: figKey=""create-new-distribution"" points to Distribution Fitting figure instead of Bayesian","Change to figKey=""create-new-bayesian""",No
04-working-with-rmc-bestfit.mdx,32,Line 858,Grammar,Minor,"Unnecessary comma: Once, the new","Change to: Once the new",No
04-working-with-rmc-bestfit.mdx,33,"Lines 883-885",MDX,Minor,"Where block uses {\""\n\""} instead of > prefix for continuation lines","Replace {\""\n\""} with > prefix on each continuation line",No
04-working-with-rmc-bestfit.mdx,34,Line 894,Grammar,Minor,"Extra space before period: parameter sets .","Change to: parameter sets.",No
04-working-with-rmc-bestfit.mdx,35,"Lines 914-915",Text,Major,"Incomplete caption: (adapted from , which was originally taken  (Perreault, 2000)) — missing source names and has extra spaces","Verify original source references and insert missing citation text",Yes
04-working-with-rmc-bestfit.mdx,36,Line 981,Grammar,Major,"Missing variable name: where is the number of — sentence is incomplete","Change to: where d is the number of parent distribution parameters (or appropriate variable)",Yes
04-working-with-rmc-bestfit.mdx,37,Line 985,Grammar,Major,"Missing subject: recommended that be very small — sentence is incomplete","Change to: recommended that b be very small",Yes
04-working-with-rmc-bestfit.mdx,38,Line 997,Grammar,Minor,"Missing space after period: AEP.The","Change to: AEP. The",No
04-working-with-rmc-bestfit.mdx,39,Line 1024,Grammar,Minor,"Missing space after period: results.However","Change to: results. However",No
04-working-with-rmc-bestfit.mdx,40,Line 1131,Grammar,Minor,"Missing space before bold: select the**Skew","Change to: select the **Skew",No
04-working-with-rmc-bestfit.mdx,41,Line 1218,Grammar,Minor,"Missing space after comma: prior,the","Change to: prior, the",No
04-working-with-rmc-bestfit.mdx,42,Line 1268,Grammar,Minor,"Missing space before bold: in the**Frequency","Change to: in the **Frequency",No
04-working-with-rmc-bestfit.mdx,43,"Lines 295, 588, 634, 825, 895, 897, 902, 907, 941-942, 969, 1138, 1181, 1184, 1237, 1248, 1300, 1314, 1352-1353",Citation,Minor,"Multiple Citation components used without accompanying author-year text — per convention citations should use format: (Author, Year) <Citation/>","Add author-year text before each Citation component at all listed locations",Yes
04-working-with-rmc-bestfit.mdx,44,Line 410,Citation,Minor,"Author-year text without Citation component: Bulletin 17C (U.S. Geological Survey, 2018) is missing <Citation citationKey=""USGS2018"" />","Add <Citation citationKey=""USGS2018"" /> after the author-year text",No
07-appendix-probability-distributions.mdx,45,Line 5,MDX,Minor,"Unused import: TableAcronyms imported but never used (file uses TableBestFitDistributions)",Remove the TableAcronyms import statement,No
07-appendix-probability-distributions.mdx,46,"Lines 695, 792, 939",Citation,Minor,"Citations missing author-year text: Hosking's parameterization <Citation .../> missing (Hosking and Wallis, 1997)","Add (Hosking and Wallis, 1997) before each Citation component",No
