File,Issue,Location,Category,Severity,Problem,Recommended Fix,Human Verification
00-document-info.mdx,1,Line 16,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
00-document-info.mdx,2,Line 22,MDX,Major,linkTitle="RMC-BestFit" is incorrect for RMC-RFA document,Change to linkTitle="RMC-RFA",No
01-preface.mdx,3,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
01-preface.mdx,4,Line 10,MDX,Minor,VersionSelector is imported but never used,Remove the unused import,No
01-preface.mdx,5,Line 21-22,Grammar,Minor,"peer review" should be "peer reviewed",Change "peer review" to "peer reviewed",No
02-welcome-to-rmc-rfa.mdx,6,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
02-welcome-to-rmc-rfa.mdx,7,Line 12,MDX,Minor,VersionSelector is imported but never used,Remove the unused import,No
02-welcome-to-rmc-rfa.mdx,8,Line 162,Grammar,Minor,"scerening" should be "screening",Change "scerening" to "screening",No
02-welcome-to-rmc-rfa.mdx,9,Line 168,Grammar,Minor,"objectoriented" should be "object-oriented",Change "objectoriented" to "object-oriented",No
03-overview-of-rmc-rfa-methodology.mdx,10,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
03-overview-of-rmc-rfa-methodology.mdx,11,Line 14,MDX,Minor,VersionSelector is imported but never used,Remove the unused import,No
03-overview-of-rmc-rfa-methodology.mdx,12,"Lines 42, 67, 150, 151",MDX,Minor,Spaces around = in figKey props are inconsistent,Remove spaces around = for consistency,No
03-overview-of-rmc-rfa-methodology.mdx,13,Line 104,Grammar,Minor,"Emprirical" should be "Empirical" in table,Change "Emprirical" to "Empirical",No
03-overview-of-rmc-rfa-methodology.mdx,14,Line 195,Grammar,Minor,"stagestorage-discharge" should be "stage-storage-discharge",Add missing hyphen,No
03-overview-of-rmc-rfa-methodology.mdx,48,Line 28,Citation,Minor,Author-year reference "(Vose 2008)" missing Citation component,Add <Citation citationKey="Vose2008"/>,No
03-overview-of-rmc-rfa-methodology.mdx,49,Line 60,Citation,Minor,Author-year references "(Nathan and Weinmann 2013)" and "(Nathan Jordan et al. 2016)" missing Citation components,Add Citation components for NathanWeinmann2013 and NathanEtAl2016,No
03-overview-of-rmc-rfa-methodology.mdx,50,Line 137,Citation,Minor,Author-year reference "(Efron 1979)" missing Citation component,Add <Citation citationKey="Efron1979"/>,No
03-overview-of-rmc-rfa-methodology.mdx,51,Line 154,Citation,Minor,Author-year reference "(Efron and Tibshirani 1998)" missing Citation component,Add <Citation citationKey="EfronTibshirani1998"/>,No
04-overview-of-the-user-interface.mdx,15,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
04-overview-of-the-user-interface.mdx,16,Line 14,MDX,Minor,VersionSelector is imported but never used,Remove the unused import,No
04-overview-of-the-user-interface.mdx,17,Line 26,MDX,Minor,Space around = in figKey prop is inconsistent,Remove spaces around = for consistency,No
04-overview-of-the-user-interface.mdx,18,Lines 125-126,Grammar,Minor,"has been saved yet" missing "not",Change to "has not been saved yet",No
04-overview-of-the-user-interface.mdx,19,Line 198,Grammar,Minor,Sentence starts with lowercase,Capitalize "In order to re-dock",No
04-overview-of-the-user-interface.mdx,20,Line 279,Grammar,Minor,"can be saved use" missing word,Change to "can be saved for use",No
04-overview-of-the-user-interface.mdx,21,Line 716,Grammar,Minor,"sam e" has extra space,Change "sam e" to "same",No
05-working-with-rmc-rfa.mdx,22,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
05-working-with-rmc-rfa.mdx,23,Line 16,MDX,Minor,VersionSelector is imported but never used,Remove the unused import,No
05-working-with-rmc-rfa.mdx,24,Line 54,MDX,Major,figKey="figure-3" duplicates key from another file,Replaced duplicate Figure with FigReference to original,No
05-working-with-rmc-rfa.mdx,25,Line 166,Grammar,Minor,"enw" should be "new",Change "enw" to "new",No
05-working-with-rmc-rfa.mdx,26,Lines 226-231,MDX,Major,figKey="figure-48" defined twice consecutively,Remove duplicate Figure component,No
05-working-with-rmc-rfa.mdx,27,"Lines 238-239, 244",Grammar,Minor,"Manager accss" should be "Manager access",Change "accss" to "access",No
05-working-with-rmc-rfa.mdx,28,Line 248,MDX,Major,Unclosed bold markdown **From Project Explorer",Add closing asterisks **,No
05-working-with-rmc-rfa.mdx,29,Line 265,Grammar,Minor,"Volume frequency Curve" inconsistent caps,Change to "Volume Frequency Curve",No
05-working-with-rmc-rfa.mdx,30,Line 403,Grammar,Minor,"HECDSSVue" missing hyphen,Change to "HEC-DSSVue",No
05-working-with-rmc-rfa.mdx,31,Line 471,MDX,Minor,"-After" missing space after hyphen,Change to "- After",No
05-working-with-rmc-rfa.mdx,32,Line 476,MDX,Minor,"4.**Plot**" missing space after number,Change to "4. **Plot**",No
05-working-with-rmc-rfa.mdx,33,Line 477,Grammar,Minor,"90%uncertainty" missing space,Change to "90% uncertainty",No
05-working-with-rmc-rfa.mdx,34,Lines 490-491,MDX,Minor,Inconsistent list formatting,Standardize list item formatting,No
05-working-with-rmc-rfa.mdx,35,Lines 541-543,Grammar,Minor,"tthe" typo and awkward phrasing,Change "tthe" to "the",No
05-working-with-rmc-rfa.mdx,36,Line 547,Grammar,Minor,"cricial" should be "critical",Change "cricial" to "critical",No
05-working-with-rmc-rfa.mdx,37,Lines 817-823,MDX,Major,figKey="figure-85" defined twice consecutively,Remove duplicate Figure component,No
05-working-with-rmc-rfa.mdx,38,"Lines 826, 916",MDX,Major,tableKey="table-1" used multiple times,Assign unique table keys,No
05-working-with-rmc-rfa.mdx,39,Line 961,MDX,Minor,"*Note*:" inconsistent with "**Note**:" elsewhere,Change to "**Note**:",No
05-working-with-rmc-rfa.mdx,40,Line 1062,Grammar,Minor,"the the any" duplicate word,Remove duplicate "the",No
05-working-with-rmc-rfa.mdx,41,Line 1334,Grammar,Minor,"any window for any window" duplicate phrase,Change to "the message window for any warnings",No
05-working-with-rmc-rfa.mdx,42,Line 1336,Grammar,Minor,"simiulation" should be "simulation",Change to "simulation",No
05-working-with-rmc-rfa.mdx,43,Line 1441,Grammar,Minor,"sesnsitivity" should be "sensitivity",Change to "sensitivity",No
05-working-with-rmc-rfa.mdx,44,Line 1442,Grammar,Minor,"teh" should be "the",Change to "the",No
05-working-with-rmc-rfa.mdx,46,Lines 1239-1241,Equation,Major,Equation "where" block not using blockquote formatting,Reformat with > prefix and double spaces,No
05-working-with-rmc-rfa.mdx,47,Line 1244,Grammar,Minor,"the the Modified Puls" duplicate word,Remove duplicate "the",No
05-working-with-rmc-rfa.mdx,52,Line 526,Citation,Major,Author-year reference "(Chow 1954)" has no matching entry in bib.json,Added Chow1954 entry to bib.json and Citation component,No
06-references.mdx,45,Line 6,MDX,Minor,addBaseUrl is imported but never used,Remove the unused import,No
