"Issue","File","Location","Category","Severity","Problem","Recommended Fix","Fix Applied","Human Verification Required","Addressed?"
"1","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx:62","Text","Minor","The sentence reads versionnumber,which without spaces.","Update to version number, which to match the PDF.","Yes","No","Yes"
"2","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx:37","Citation","Major","The PDF caption includes author-year text for FEMA 2011, but the MDX caption lacks both the author-year text and the required <Citation>.","Add the author-year text FEMA (2011) to the Figure 8 caption and include <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"3","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx:40","Citation","Major","The PDF uses FEMA (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to FEMA (2011) and keep <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"4","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/04-background.mdx:46","Text","Major","The lowercase d and uppercase D are wrapped in garbled quote characters.","Replace the garbled characters with normal quotes so the text reads lowercase ""d"" and uppercase ""D"".","Yes","No","Yes"
"5","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx:33","Text","Major","The term ""Hydrometer"" is wrapped in garbled quote characters, which does not match the PDF typography.","Replace the garbled quote characters with standard quotes around ""Hydrometer"".","Yes","No","Yes"
"6","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx:37","Text","Major","The term ""Stokes' Law"" uses a garbled apostrophe character, which does not match the PDF typography.","Replace the garbled apostrophe so the text reads ""Stokes' Law"".","Yes","No","Yes"
"7","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx:52","Citation","Major","The PDF sentence references ""American Society of Testing and Materials [ASTM] D2487"", but the MDX only shows ""Unified Soil Classification System"" followed by the citation component and omits the ASTM D2487 text.","Insert the ASTM D2487 text (e.g., ""American Society of Testing and Materials [ASTM] D2487"") before the <Citation citationKey=""ASTM2487"" /> to match the PDF.","Yes","No","Yes"
"8","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/05-filter-gradation.mdx:86","Citation","Major","The PDF uses FEMA (2011), but the MDX only includes a <Citation> without the author-year text.","Update the text to FEMA (2011) and keep <Citation citationKey=""FEMA2011"" />.","Yes","No","Yes"
"9","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx:25","Text","Minor","The sentence contains the typo teh and includes the extra word detailed, which does not appear in the PDF.","Correct to the base soil is the same as the filter material.","Yes","No","Yes"
"10","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx","docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/06-base-gradation.mdx:29","Citation","Major","The PDF uses Sherard and Dunnigan (1989), but the MDX only includes a <Citation> without the author-year text.","Update the text to Sherard and Dunnigan (1989) and keep <Citation citationKey=""Sherard1989"" />.","Yes","No","Yes"
